|name|ra|dec|cluster_radius|rad_vel|rad_vel_error|num_cluster_stars|distance|log_age|log_age_error|
|NGC 6383         |17 34 44|-32 34.6|0.225|    2.67|         2.17|77|1184|6.6|             |
|MWSC 5289        |15 23 19|-32 29.4|0.185|        |             |66|1672|9.45|             |
|MWSC 5289        |15 23 19|-32 29.4|0.185|        |             |66|1672|9.45|             |
|ESO 426-26       |06 36 18|-30 51.9|0.155|        |             |54|1474|9.215|             |
|MWSC 4228        |15 54 32|-30 39.6|0.26|        |             |133|1312|8.74|        0.020|
|MWSC 4286        |16 41 33|-30 32.1|0.16|        |             |102|1564|8.91|        0.041|
|MWSC 5293        |15 30 17|-30 26.4|0.165|        |             |51|1414|9.22|        0.103|
|Blanco 1         |00 03 32|-30 00.0|2.35|    5.48|         2.04|266|250|7.75|             |
|FSR 1391         |09 32 51|-28 50.9|0.26|        |             |89|1753|8.4|             |
|FSR 1285         |06 40 01|-28 46.2|0.17|        |             |64|1685|8.67|        0.012|
|ASCC 87          |17 03 00|-28 27.0|0.3|        |             |381|838|8.55|        0.085|
|ASCC 32          |07 02 06|-26 33.6|0.325|        |             |195|767|8.215|             |
|Dutra-Bica 45    |17 47 18|-24 53.6|0.09|        |             |53|1192|9.1|             |
|MWSC 5309        |16 09 40|-24 26.4|0.185|        |             |83|1724|9.025|             |
|FSR 1312         |08 10 46|-23 18.3|0.13|        |             |67|1941|8.835|        0.050|
|MWSC 5311        |16 11 37|-23 12.9|0.155|        |             |63|1410|9.05|             |
|Platais 5        |06 14 42|-22 30.0|2.07|   30.90|             |401|272|7.78|             |
|MWSC 5316        |16 15 14|-22 22.2|0.21|        |             |74|1390|8.87|             |
|Ruprecht 19      |07 25 50|-21 33.8|0.115|        |             |87|1797|8.0|             |
|NGC 2287         |06 46 03|-20 44.7|0.44|   24.47|         1.20|302|769|8.25|             |
|Sgr OB7          |18 14 53|-20 19.2|0.48|   -7.19|         3.14|592|1481|6.45|             |
|Turner 2         |18 16 55|-19 03.9|0.165|  -15.70|             |69|1290|7.9|             |
|ASCC 99          |18 49 07|-18 44.4|0.23|  -31.30|         0.40|122|679|8.75|             |
|Ruprecht 145     |18 50 38|-18 13.6|0.24|   -8.77|         5.16|98|770|8.9|             |
|MWSC 5326        |16 32 47|-17 08.6|0.18|        |             |84|1637|9.485|        0.015|
|NGC 6613         |18 19 59|-17 06.6|0.19|  -14.00|         4.49|82|1213|7.705|        0.067|
|Ruprecht 26      |07 37 10|-15 39.6|0.21|   17.79|         3.50|191|1456|7.8|             |
|FSR 1219         |07 08 28|-15 21.9|0.2|        |             |183|1721|8.755|        0.027|
|MWSC 4572        |20 30 59|-15 10.5|0.19|        |             |68|1402|9.34|        0.032|
|Dolidze 28       |18 25 29|-14 39.0|0.15|    0.60|             |114|1258|8.25|             |
|Ruprecht 1       |06 36 32|-14 11.6|0.14|        |             |71|1204|8.79|             |
|NGC 2423         |07 37 07|-13 51.0|0.45|   21.67|         2.54|428|824|9.025|        0.014|
|NGC 2374         |07 24 00|-13 16.2|0.22|   27.20|         0.10|157|1394|8.75|             |
|NGC 2539         |08 10 41|-12 50.4|0.44|   26.12|         1.70|455|1232|8.735|        0.022|
|FSR 1199         |07 06 18|-12 34.2|0.135|        |             |91|1188|8.645|        0.025|
|NGC 6625         |18 22 47|-11 57.3|0.165|        |             |68|1335|8.7|             |
|FSR 0085         |19 47 13|-11 51.3|0.115|        |             |51|1338|9.375|             |
|MWSC 4555        |20 17 33|-11 21.0|0.25|        |             |116|1740|9.505|        0.056|
|FSR 1220         |07 43 43|-11 01.8|0.17|        |             |80|1410|8.57|             |
|MWSC 5963        |05 43 57|-10 39.3|0.25|        |             |51|430|8.82|             |
|FSR 1136         |06 24 45|-10 15.9|0.15|        |             |56|1287|8.2|             |
|NGC 2353         |07 14 30|-10 15.0|0.22|   22.30|        10.30|109|1180|7.2|             |
|FSR 1183         |07 13 21|-09 53.5|0.19|        |             |222|1634|8.585|        0.048|
|MWSC 5329        |16 43 03|-09 50.4|0.175|        |             |58|1111|9.65|             |
|FSR 1180         |07 15 41|-09 24.6|0.155|        |             |117|1000|8.675|             |
|NGC 6694         |18 45 16|-09 22.8|0.165|    4.00|         7.40|143|1748|8.12|        0.029|
|FSR 1169         |07 02 51|-09 15.3|0.17|        |             |153|1905|8.675|        0.044|
