field1|name|ra|dec|cluster_radius|rad_vel|rad_vel_error|num_cluster_stars|distance|log_age|log_age_error|field12
|Dolidze 53|19 46 18|+24 37.9|0.125|2.80|1.28|123|1392|7.335||
|Dolidze 55|21 09 50|+40 36.6|0.115|||73|1584|8.85||
|Dolidze 8|20 24 31|+42 16.2|0.105|||26|1078|8.855|0.035|
|Dolidze 9|20 25 41|+41 57.2|0.13|||64|1063|8.0||
|Dutra-Bica 13|17 55 20|-29 23.3|0.095|||25|1698|6.9||
|Dutra-Bica 33|17 45 29|-26 41.8|0.09|||46|998|6.75||
|Dutra-Bica 45|17 47 18|-24 53.6|0.09|||53|1192|9.1||
|Dutra-Bica 51|17 49 28|-31 15.0|0.055|||12|1346|6.0||
|Dutra-Bica 58|17 45 04|-28 50.9|0.09|-15.46||11|1182|6.0||
|Dutra-Bica 83|05 52 05|+27 22.7|0.12|||76|1863|8.78|0.059|
|ESO 008-06|14 56 55|-83 26.7|0.185|||78|1380|9.3||
|ESO 043-13|17 04 44|-74 21.0|0.14|||73|1490|9.315|0.044|
|ESO 062-08|10 21 40|-69 20.9|0.1|||27|1983|9.44|0.002|
|ESO 064-05|12 24 43|-68 29.1|0.16|||110|1239|7.885||
|ESO 099-06|15 29 48|-64 51.0|0.105|||57|1274|8.9||
|ESO 123-26|07 52 12|-60 20.4|0.2|||92|816|8.53||
|ESO 128-16|10 53 40|-58 14.7|0.16|||91|973|8.84|0.027|
|ESO 129-19|11 21 09|-58 12.9|0.107|||42|1791|9.0||
|ESO 129-32|11 44 11|-61 03.5|0.1|||57|1560|8.6||
|ESO 130-06|12 07 52|-59 18.0|0.19|-0.96|5.75|199|1198|7.3||
|ESO 130-08|12 10 19|-59 31.2|0.2|-38.74|7.92|231|800|9.01|0.032|
|ESO 130-13|12 23 04|-59 39.9|0.205|||295|1509|8.445||
|ESO 132-14|13 36 32|-62 11.4|0.1|||89|1093|9.15||
|ESO 137-23|16 24 31|-61 44.0|0.13|||85|1561|9.55||
|ESO 137-43|16 48 25|-61 45.0|0.09|||50|1659|8.9||
|ESO 139-13|17 37 50|-58 08.7|0.15|-33.87|0.66|102|1500|8.78||
|ESO 139-54|18 04 37|-58 31.5|0.115|||43|985|8.99||
|ESO 165-09|09 05 24|-55 56.3|0.16|||55|656|8.915||
|ESO 166-04|09 10 30|-53 53.4|0.143|||90|978|8.26||
|ESO 175-06|14 18 47|-56 53.4|0.195|-27.90||126|586|8.6||
|ESO 226-06|16 24 16|-51 09.3|0.08|||73|1220|8.475||
|ESO 245-09|01 53 43|-45 55.2|0.37|||51|1380|9.055|0.071|
|ESO 258-01|07 45 38|-46 42.6|0.105|||24|1031|8.705||
|ESO 260-06|08 46 17|-47 41.1|0.115|||53|1211|8.1||
|ESO 260-07|08 48 00|-47 01.8|0.125|||91|1876|9.375||
|ESO 260-17|09 04 45|-46 02.1|0.115|||80|1808|8.99|0.066|
|ESO 261-03|09 11 19|-47 03.6|0.145|||191|1063|8.615|0.075|
|ESO 277-04|16 40 24|-43 44.4|0.075|||43|1790|8.72||
|ESO 282-26|19 13 44|-42 37.8|0.195|||136|1509|9.235||
|ESO 311-14|07 49 24|-42 41.1|0.14|||70|1278|7.74||
|ESO 312-04|08 26 46|-41 14.3|0.075|||41|1963|8.3||
|ESO 313-12|08 43 51|-40 13.5|0.12|||117|1401|8.5||
|ESO 314-14|09 19 31|-38 07.9|0.115|||46|1870|8.65||
|ESO 329-02|15 27 32|-41 03.0|0.095|||45|1546|9.3||
|ESO 332-20|17 04 55|-38 19.0|0.11|||73|1695|8.05||
|ESO 332-22|17 07 25|-40 49.0|0.18|||177|1422|7.995|0.174|
|ESO 337-23|19 19 18|-37 37.2|0.1|||20|1995|9.2||
|ESO 368-11|07 44 24|-34 37.6|0.165|||179|1245|8.945||
|ESO 368-14|07 47 07|-32 58.4|0.095|||49|1268|8.65||
|ESO 392-13|17 26 52|-34 41.0|0.125|||35|816|7.95||
|ESO 425-06|06 04 52|-29 11.1|0.115|||16|1077|9.4||
|ESO 425-15|06 14 40|-29 22.8|0.105|||17|1070|9.005||
|ESO 426-26|06 36 18|-30 51.9|0.155|||54|1474|9.215||
